id,question,content,category,source
151,заявки передать постановление об отмене исполнительного сбора,"Обратитесь, пожалуйста, к непосредственному руководителю для создания заявки на Вас по теме «Удержания», подтема ""Исполнительный лист"". В рамках заявки передайте постановление о прекращении удержаний по исполнительному листу.",Заявки,оригинал
626,личный кабинет логин для входа,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
650,моя карьера отклик в моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",Моя карьера,оригинал
1651,личный кабинет в личном кабинете заявка формируется уже более часа,"Просьба очистить кеш/куки с использованием клавиш Ctrl + Shift + Delete. При появлении окошка с настройками в разделе ""За период"" выбрать ""За все время"". Далее выйти с личного кабинета с использованием клавиши ""Выход"" и авторизоваться повторно введя логин и пароль.",Личный кабинет,оригинал
400,личный кабинет у сотрудника не приходит смс с паролем и логином,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
1331,"табель нет раздела ""заявка на сотрудника""","Если в ""команде"" нет подчиненных сотрудников просьба обратиться в поддержку для корректировки",Табель,оригинал
1445,увольнение премия после увольнения,"Премия и надбавка не начисляется, если на момент расчета премии за отчетный период трудовой договор работника прекращен",Увольнение,оригинал
101,доверенность нужна подпись на доверенности от юриста,Специалистами СФ ПБ не производится подпись доверенностей на предоставление интересов сотрудника в суде,Доверенность,оригинал
1191,прием на работу необходимо взять сотрудника назад в штат,"Для вывода сотрудника в штат создайте, пожалуйста, заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок» с подтемой «Прекращение обнуления».",Прием на работу,оригинал
773,"отпуск не сходятся дни отпуска в лк, у меня больше","В Личном кабинете в разделе «Отпуска» отображаются лимиты, доступные для планирования, за вычетом уже запланированных дней. Расчет производится следующим образом: берем количество дней, заработанных Вами на определенную дату, и вычитаем из них количество дней, запланированное на будущий период.",Отпуск,оригинал
700,моя карьера не активна кнопка моя карьера,"Доступ к программе ""карьера"" появляется спустя 4 месяца после трудоутстройства в компанию. Если по прошествии 4х месяцев раздел по-прежнему недоступен, обратитесь в поддержку",Моя карьера,оригинал
1459,"увольнение я переезжаю, как мне устроиться на ту же должность в магазин?","Рекомендуем уточнить наличие вакансий в регионе, куда планируется переезд. Обратиться к руководителю для формирования заявки в рамках процесса «Перевод» с заполнением атрибутов заявки.",Увольнение,оригинал
1291,"табель в разделе команда я не являюсь руководителем,поэтому отсутсвуют подчиненные","Если в ""команде"" нет подчиненных сотрудников просьба обратиться в поддержку для корректировки",Табель,оригинал
554,личный кабинет получить новый пароль от личного кабинета смс уведомлением,"При проблемах со входом в личный кабинет, прежде чем создавать заявку в поддержку, убедитесь, что заходите в ЛК на сайте https://company-x5.ru, указываете актуальные и верные логин и пароль. Если Вам неизвестен логин, обратитесь к руководителю (ДМ), он сможет посмотреть Ваш логин и сбросить пароль в веб-табеле. Для самостоятельного сброса пароля позвоните с вашего мобильного телефона на +7 (XXX) XXX XX XX, наберите добавочный номер 10100, нажмите * и подтвердите сброс пароля, нажав #. Обновленный пароль отправляется по SMS.",Личный кабинет,оригинал
